species	organismCode	collection	geneIdType	geneSetCount	sizeBytes	resourcePath	downloadUrl	status
human	Hs	c1.all	gene_symbol	302	380137	resources/bio/gene_sets/msigdb/human/c1.all.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c1.all.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.all	gene_symbol	7670	4634828	resources/bio/gene_sets/msigdb/human/c2.all.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.all.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cgp	gene_symbol	3555	2957438	resources/bio/gene_sets/msigdb/human/c2.cgp.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cgp.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp	gene_symbol	4115	1677390	resources/bio/gene_sets/msigdb/human/c2.cp.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp.biocarta	gene_symbol	292	57689	resources/bio/gene_sets/msigdb/human/c2.cp.biocarta.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.biocarta.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp.kegg_legacy	gene_symbol	186	100274	resources/bio/gene_sets/msigdb/human/c2.cp.kegg_legacy.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.kegg_legacy.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp.kegg_medicus	gene_symbol	658	177277	resources/bio/gene_sets/msigdb/human/c2.cp.kegg_medicus.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.kegg_medicus.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp.pid	gene_symbol	196	65610	resources/bio/gene_sets/msigdb/human/c2.cp.pid.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.pid.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp.reactome	gene_symbol	1839	898680	resources/bio/gene_sets/msigdb/human/c2.cp.reactome.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.reactome.v2026.1.Hs.symbols.gmt	available
human	Hs	c2.cp.wikipathways	gene_symbol	925	372459	resources/bio/gene_sets/msigdb/human/c2.cp.wikipathways.v2026.1.Hs.symbols.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.wikipathways.v2026.1.Hs.symbols.gmt	available
